16384,16620,16574,16480,16396,16450,16414,16646,16578,16588,16560,16476,16756,16470,16376,16434,16426,16658,16576,16744,16390,16484,16420,16454,16528,16650,16440,16492,16374,16428,16406,16494,16420,16600,16518,16470,16448,16484,16384,16594,16582,16644,16584,16434,16710,16488,16432,16470,16384,16618,16326,16650,16414,16436,16402,16486,16580,16640,16382,16472,16418,16470,16384,16440,16408,16650,16550,16442,16394,16484,16438,16620,16544,16594,16598,16494,16724,16438,16396,16498,16438,16460,16360,16766,16446,16486,16388,16578,16552,16476,16426,16452,16362,16474,16430,16482,16382,16446,16394,16644,
16500,16374,16424,16372,16480,16424,16448,16358,16446,16396,16484,16366,16430,16386,16614,16316,16628,16368,16468,16410,16472,16342,16422,16392,16496,16402,16438,16352,16454,16422,16456,16342,16446,16386,16488,16406,16418,16382,16468,16424,16448,16342,16450,16388,16482,16386,16556,16296,16662,16414,16444,16350,16464,16394,16462,16368,16436,16396,16496,16380,16422,16374,16466,16400,16464,16354,16434,16400,16476,16392,16412,16374,16460,16400,16448,16334,16450,16418,16612,16290,16604,16392,16484,16394,16450,16338,16450,16414,16474,16372,16438,16378,16474,16404,16434,16348,16474,16410,16458,16358,
16380,16464,16434,16482,16368,16452,16416,16818,16404,16448,16706,16496,16442,16458,16378,16468,16412,16486,16396,16436,16388,16506,16410,16456,16380,16458,16416,16482,16396,16436,16400,16798,16392,16432,16382,16488,16424,16474,16380,16770,16416,16508,16716,16446,16406,16480,16434,16466,16358,16458,16434,16484,16382,16448,16394,16496,16420,16442,16358,16472,16444,16472,16372,16742,16394,16488,16410,16452,16372,16486,16436,16786,16376,16464,16738,16504,16408,16432,16400,16500,16408,16458,16376,16460,16420,16496,16382,16442,16408,16490,16398,16450,16386,16470,16424,16776,16364,16436,16412,16506,
16372,16478,16402,16464,16376,16442,16376,16482,16382,16438,16368,16456,16424,16444,16364,16576,16312,16412,16294,16606,16382,16476,16416,16460,16364,16456,16400,16486,16358,16424,16378,16486,16410,16454,16342,16450,16424,16476,16356,16428,16376,16490,16402,16426,16372,16448,16418,16600,16272,16364,16304,16666,16396,16430,16374,16480,16422,16460,16348,16454,16388,16478,16376,16430,16390,16492,16392,16436,16366,16468,16404,16466,16358,16432,16396,16478,16406,16418,16368,16600,16330,16388,16262,16620,61154,17428,17386,17492,17384,17428,62156,17894,64472,18550,18474,18598,50034,17910,55152,16630,
16480,16432,16470,16368,16450,16420,16642,16580,16442,16722,16508,16428,16476,16372,16472,16420,16792,16392,16432,16396,16502,16404,16422,16376,16472,16412,16474,16396,16596,16588,16650,16560,16428,16386,16486,16426,16470,16368,16600,16600,16496,16720,16454,16394,16500,16424,16466,16358,16774,16432,16480,16380,16446,16390,16474,16418,16448,16358,16472,16446,16626,16558,16600,16566,16486,16404,16442,16384,16488,16424,16608,16552,16462,16752,16506,16390,16450,16400,16504,16404,16760,16376,16468,16430,16482,16370,16416,16412,16498,16388,16442,16396,16630,16614,16618,16584,16440,16422,16496,16394,
16376,16430,16390,16504,16400,16448,16370,16470,16412,16472,16340,16436,16396,16494,16400,16442,16356,16466,16422,16456,16342,16440,16392,16486,16386,16416,16388,16466,16410,16582,16268,16378,16318,16656,16380,16430,16388,16494,16404,16446,16352,16470,16394,16464,16360,16440,16402,16500,16376,16420,16380,16482,16402,16450,16344,16450,16410,16472,16388,16568,16272,16412,16318,16374,16266,16632,16424,16474,16370,16434,16398,16498,16386,16446,16340,16456,16414,16470,16368,80298,18488,18600,18520,49784,55830,16362,16466,16420,16444,16358,16434,16398,16622,16286,16608,16382,16494,16408,16456,16364,
16396,16490,16434,16452,16366,16764,16412,16478,16398,16436,16394,16488,16574,16594,16700,16484,16752,16488,16384,16436,16410,16506,16392,16426,16392,16482,16420,16470,16364,16458,106576,16576,16354,16524,16432,16404,16426,16524,16586,61602,17450,17576,17422,17552,17588,17310,17692,17412,17454,17374,17478,17586,17400,17536,17472,17420,17470,17532,17634,17768,17506,17560,17582,17542,17670,17414,17604,17264,17650,17580,17406,17528,17776,17576,17654,17370,17444,17572,17678,17556,17632,17384,17484,17572,17652,17520,17660,17424,17464,17524,17642,17572,17692,17556,17644,17550,17432,17546,17598,17268,
17510,17396,17444,17326,17468,17412,17476,17356,17452,17410,17480,17374,17422,17360,17476,17392,17436,17370,17476,17398,17598,17242,17370,17308,17398,17540,17430,17386,17626,17570,17426,17372,17480,17390,17442,17330,17462,17402,17462,17356,17450,17406,17478,17374,17420,17360,17478,17388,17434,17364,17470,17400,17598,17244,17368,17306,17398,17542,17430,17380,17626,17570,17424,17370,17478,17394,17444,17326,17462,17398,17466,17358,17448,17404,17478,17376,17420,17358,17476,17386,17436,17362,17468,17404,17600,17244,17364,17306,17402,17544,17428,17378,17628,17572,17422,17370,17476,17392,17446,17328,
17296,17678,17372,17452,17762,17512,17398,17450,17394,17504,17400,17762,17384,17476,17426,17470,17360,17430,17432,17478,17356,17432,17416,17658,17594,17596,17546,17476,17420,17456,17360,17472,17424,17626,28060,62012,17968,17936,18046,48868,17406,17492,17396,17424,17374,17496,17428,17776,17370,17794,17418,17452,17372,17454,17410,17480,17388,17776,17408,17510,17744,17444,17398,17478,17422,17460,17356,17472,17440,17472,17360,17458,17410,17494,17394,17424,17372,17498,17424,17774,17372,17794,17416,17452,17376,17454,17408,17482,17386,17776,17408,17506,17744,17446,17400,17484,17416,17458,17358,17470,
17384,17258,17338,17288,17664,17374,17434,17364,17600,17610,17590,17240,17624,17400,17486,17348,17416,17386,17490,17384,17426,17348,17460,17416,17444,17330,17460,17406,17466,17360,17424,17402,17466,17376,17408,17362,17488,17376,17442,17362,17600,17320,17642,17360,17452,17392,17486,17342,17418,17380,17494,17390,17430,17344,17460,17414,17450,17328,17456,17406,17466,17364,17418,17402,17466,17380,17408,17362,17488,17382,17440,17360,17598,17322,17648,17358,17450,17392,17486,17348,17416,251178,17666,759396,17464,17606,62682,17390,616210,18004,17962,49198,17486,17404,17448,48268,16410,16454,16366,16464,
